WRN 2026-06-20T12:01:52.417 ui.77597   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-20T12:01:52.417 ui.77597   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-20T12:01:52.417 ui.77597   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-20T12:01:52.417 ui.77597   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-20T12:01:52.417 ui.77597   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-20T12:09:56.748 ui.132611  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-20T12:09:56.748 ui.132611  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-20T12:09:56.748 ui.132611  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-20T12:09:56.748 ui.132611  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-20T12:09:56.748 ui.132611  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-20T12:12:05.574 ui.150514  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-20T12:12:05.574 ui.150514  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-20T12:12:05.574 ui.150514  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-20T12:12:05.574 ui.150514  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-20T12:12:05.574 ui.150514  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-20T12:14:58.095 ui.153554  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-20T12:14:58.095 ui.153554  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-20T12:14:58.095 ui.153554  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-20T12:14:58.095 ui.153554  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-20T12:14:58.095 ui.153554  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
