#TAG,NAME IN REPO (or git url)
p,alacritty
p,amd-ucode
p,base
p,base-devel
p,bat
p,brightnessctl
p,btop
p,btrfs-progs
p,catppuccin-gtk-theme-mocha
p,cronie
p,ctpv-git
p,discord
p,dnsmasq
p,dunst
p,efibootmgr
p,entr
p,eza
p,fastfetch
p,firefox
p,fluidsynth
p,fzf
p,git
p,git-lfs
p,github-cli
p,grub
p,gst-plugin-pipewire
p,gtk-engine-murrine
p,i3-wm
p,i3blocks
p,i3lock
p,i3status
p,inetutils
p,iptables-nft
p,jq
p,kitty
p,lf
p,libpulse
p,libsixel
p,linux
p,linux-firmware
p,lsd
p,lxappearance
p,maim
p,man-db
p,neovim
p,networkmanager
p,nitrogen
p,noto-fonts
p,openssh
p,p7zip
p,papirus-folders-catppuccin-git
p,pavucontrol
p,picom-git
p,pipewire
p,pipewire-alsa
p,pipewire-jack
p,pipewire-pulse
p,polkit-gnome
p,polybar
p,python-pip
p,python-protobuf
p,qemu-base
p,qt5ct
p,reflector
p,ripgrep
p,rofi
p,sddm
p,sddm-sugar-dark
p,spicetify-cli
p,spotify-launcher
p,stow
p,sublime-text-4
p,thunar
p,tmux
p,trash-cli
p,tree
p,ttf-all-the-icons
p,ttf-cm-unicode
p,ttf-jetbrains-mono-nerd
p,unrar
p,unzip
p,virt-manager
p,visual-studio-code-bin
p,vlc
p,vulkan-radeon
p,vulkan-tools
p,wget
p,wireplumber
p,xclip
p,xdg-user-dirs
p,xf86-video-amdgpu
p,xorg-xrandr
p,yay
p,yay-debug
p,zathura
p,zathura-pdf-mupdf
p,zoxide
p,zram-generator
p,zsh
p,zsh-autosuggestions
p,zsh-completions
p,zsh-history-substring-search
p,zsh-syntax-highlighting
p,zsh-you-should-use
a,catppuccin-gtk-theme-mocha
a,ctpv-git
a,ctpv-git-debug
a,papirus-folders-catppuccin-git
a,sddm-sugar-dark
a,spicetify-cli
a,spicetify-cli-debug
a,ttf-all-the-icons
a,ttf-cm-unicode
a,visual-studio-code-bin
a,visual-studio-code-bin-debug
a,xorg-font-utils
a,yay
a,yay-debug
a,zsh-you-should-use

